Feature,Importance
Age,0.36577424728407376
NumOfProducts,0.2894781526774242
IsActiveMember,0.11016957818773052
Geography_Germany,0.05001628509811259
Balance,0.04865560944233923
BalancePerProduct,0.027400163217365485
BalanceSalaryRatio,0.02346422560694319
CreditScore,0.016170855921331953
EstimatedSalary,0.014268412885814968
Gender_Male,0.0135160738848792
AgeGroup_41-50,0.011809890110715255
AgeTenureInteraction,0.0072193507488185794
EngagementScore,0.006632756588645094
ProductDensity,0.004338263074287489
AgeGroup_51-60,0.0042995988509778316
FinancialScore,0.003791414540362727
AgeGroup_31-40,0.0015749077604455166
Tenure,0.0005352194566223558
Geography_Spain,0.00032002243780634597
CreditCategory_Good,0.0001770547807295397
HasCrCard,0.00016073623938169665
CreditCategory_Fair,0.00012908410516842747
CreditCategory_Poor,9.565591722743549e-05
LoyalCustomer,2.3849122613537723e-06
HighSalaryFlag,5.6270535192402385e-08
Year,0.0
HighBalanceFlag,0.0
SeniorCitizen,0.0
AgeGroup_60+,0.0
